[0:00-0:02] 大家好,欢迎来到YouTube大佬偷镜
[18:12-18:13] 10%几就是
[18:13-18:14] 约等于当时的
[18:14-18:16] 最大的那批高杠杆的人
[18:16-18:18] 他们干掉了就结束了
[18:18-18:19] 所以我估计实际上现在的上游
[18:19-18:20] 大概也是这样
[18:20-18:21] 因为过去的几年
[18:21-18:23] 就是上游最确定的事情
[18:23-18:25] 你把钱其实都划拨到那
[18:25-18:26] 所以你看我们的市场
[18:26-18:27] 其实就很极端
[18:27-18:28] 就是上游非常的
[18:28-18:29] 这个叫集中资金
[18:29-18:30] 为什么集中资金
[18:30-18:31] 因为大家都知道
[18:31-18:32] 那个地方是最确定
[18:32-18:32] 大确定性
[18:32-18:33] 那是最确定的
[18:33-18:34] 但是它会有一个大问题
[18:34-18:36] 就红锡
[18:36-18:37] 就是这个市场的钱
[18:37-18:40] 如果整体流动性是收的
[18:40-18:42] 您这红锡的资本越来越多
[18:42-18:43] 其他地方就会先缺血
[18:43-18:44] 它就分化
[18:44-18:45] 对没错
[18:45-18:46] 你管它叫分化
[18:46-18:47] 其实是红锡
[18:47-18:48] 千万不能讲分化
[18:48-18:49] 分化是什么
[18:49-18:50] 比如说你找你爹
[18:50-18:50] 对吧
[18:50-18:52] 那至少池子是稳的
[18:52-18:53] 这个下跌
[18:53-18:54] 并不是因为它下跌
[18:54-18:55] 实际上是被你吸走了
[18:55-18:56] 你想年初的时候
[18:56-18:57] 其实已经发生的时候
[18:57-18:58] 大部分人的反应是
[18:58-19:00] 凯文沃士上来是降息
[19:00-19:00] 不是的
[19:00-19:01] 凯文沃士上来
[19:01-19:02] 实际上是带来紧缩的
[19:02-19:04] 流动性已经在收紧的情况下
[19:04-19:05] 那么最确定性资产
[19:05-19:07] 就会不断的红锡所有人
[19:07-19:10] 就把不停的市场的资金吸过去
[19:10-19:13] 把边缘性的资产的资金吸过去
[19:13-19:14] 翻译成现在
[19:14-19:16] 特别叫流行的一段话
[19:16-19:18] 就是小灯讲的叫
[19:18-19:19] 我们要让老灯投降
[19:19-19:20] 其实就是红锡
[19:20-19:23] 你希望把老灯的钱吸引过来吗
[19:23-19:23] 我给你讲
[19:23-19:24] 当老灯真的被吸引过去的时候
[19:24-19:26] 就在最后想象到最后的马甲
[19:26-19:27] 它这个已经红锡到
[19:27-19:29] 无所可惜的时候
[19:29-19:30] 就结束了
[19:30-19:31] 就再也没有承接了
[19:31-19:32] 这个5月中下旬
[19:32-19:34] 其实开始已经出现这个现象性
[19:34-19:35] 非常明显
[19:35-19:38] 所以说我们作为这个叫
[19:38-19:39] 叫老江湖
[19:39-19:40] 我只能说
[19:40-19:42] 这个时间产力链正好
[19:42-19:43] 其实我个人认为是个真空期
[19:43-19:44] 今年
[19:44-19:45] 我不知道确不确定
[19:45-19:47] 我认为的真空机是什么的
[19:47-19:48] 上游是确定性的
[19:48-19:48] 没错
[19:48-19:50] 是因为Kpex引花出去了
[19:50-19:51] 自由陷阱力又引花出去了
[19:51-19:52] 今年的二季度
[19:52-19:54] 我个人判断是这样判断的
[19:54-19:54] 第一
[19:54-19:56] 大厂的自由陷阱力消耗完毕
[19:56-19:57] 也就简单讲
[19:57-19:58] 钱袋子的钱没了
[19:58-19:59] 第二
[19:59-20:00] 开始发债和IPO
[20:00-20:02] 也就相当于是我开始靠外部融资
[20:02-20:06] 来去维持我后续的这种资本支出
[20:06-20:07] 但是你要想一点
[20:07-20:09] 比如说上游所有的硬件
[20:09-20:10] 你们知道当年
[20:10-20:11] 海罗水尼保钢股份
[20:11-20:13] 就刚才水尼
[20:13-20:15] 在当年是高科技行业
[20:15-20:16] 你知道吗
[20:16-20:17] 那估值是很高的
[20:17-20:19] 那是高科技行业
[20:19-20:20] 那是稀缺性资产
[20:20-20:21] 我想说的是
[20:21-20:22] 你看这情景
[20:22-20:23] 跟现在上游所有的硬件的情景
[20:23-20:24] 是不是一模一样
[20:24-20:26] 一模模一样
[20:26-20:27] 但是用我话说
[20:27-20:29] 从大周期的角度来讲
[20:29-20:31] 最终你会发现卖铲子的
[20:31-20:34] 你最终还是需要有最后的应用端
[20:34-20:35] 就是黄尚欣讲的
[20:35-20:37] 你最后末端的这些应用端
[20:37-20:37] 来去买单的
[20:37-20:39] 高速公路修完最终是要有车跑的
[20:39-20:40] 是要有土地财政
[20:40-20:41] 有房地产可以去做的
[20:41-20:43] 如果这些不能做
[20:43-20:44] 前面的高速公路修
[20:44-20:46] 就是谢国中说的债务
[20:46-20:48] 现在正好卡在这个创口期
[20:48-20:49] 你们仔细看看
[20:49-20:52] 今年是不是硬件很火
[20:52-20:54] 软件和应用迟迟的出不来
[20:54-20:56] 就是类似于当年ChestGPD那种
[20:56-20:58] 能够让你一下子觉得说打通了
[20:58-20:59] 就整个链条打通了
[20:59-21:01] 那种标志性的东西
[21:01-21:02] 没有
[21:02-21:03] 所以导致一个结果
[21:03-21:05] 现在是左口袋掏右口袋掏完了
[21:05-21:05] 然后开始发债了
[21:05-21:06] 开始IPO了
[21:06-21:08] 然后大家突然间发现
[21:08-21:09] 哎呀
[21:09-21:11] 如果继续资本支出下去
[21:11-21:12] 收入怎么办
[21:12-21:14] 所以这卡了一个环
[21:14-21:16] 26年正好是这个真空期
[21:16-21:17] 二季度
[21:17-21:19] 所以我二季度我就看了一个数据
[21:19-21:20] 大厂的自由线进流
[21:20-21:22] 整体加在一起
[21:22-21:23] 归附
[21:23-21:24] 所以我认为26年的年中
[21:24-21:26] 会出现跟22年的情况
[21:26-21:28] 类似这个真空期里
[21:28-21:29] 杀一波固执
[21:29-21:30] 消化一波
[21:30-21:31] 上游最确定的
[21:31-21:32] 该闪崩的去掉杠杆
[21:32-21:33] 那要闪崩去掉杠杆
[21:33-21:34] 大概是这个过程
[21:34-21:36] 然后我们要等一个
[21:36-21:39] 堪比当年ChestGPD的那个东西
[21:39-21:39] 那个东西
[21:39-21:41] 我其实不知道具体是什么
[21:41-21:43] 但是我觉得一定要等到那个信号
[21:43-21:44] 那现在Agin的锦盆
[21:44-21:45] 就包括像特斯拉和宇宙
[21:45-21:46] 他们机器人开的量产
[21:46-21:48] 像L3 L4的自驾机
[21:48-21:49] 他们可以是
[21:49-21:50] 这个未来畅想的
[21:50-21:51] 就是AI落地的一些
[21:51-21:52] 畅想是可以的
[21:52-21:54] 你到没到能够让大家相信
[21:54-21:56] 它是能够挣钱的
[21:56-21:58] ChestGPD早期也是畅想
[21:58-21:58] 对吧
[21:58-22:00] 你到那个时刻24年的时候
[22:00-22:01] 那已经是大家发现
[22:01-22:03] 它可以去应用了
[22:03-22:04] 那不一样的
[22:04-22:06] 其实这里面讲的不是说
[22:06-22:07] 人工智能这个产业
[22:07-22:08] 人工智能分成上中下游
[22:08-22:11] 其实如果单看人工智能
[22:11-22:12] 的话实际上22年
[22:12-22:13] 实际上是上游的
[22:13-22:15] 从早期转入到确定性的
[22:15-22:17] 一个标志性的时间窗口
[22:17-22:19] 26年的时候上游已经变成最确定了
[22:19-22:21] 但是中游层现在是断崖的
[22:21-22:24] 你看今年大概在年初到现在
[22:24-22:26] 你会发现中间的软件层
[22:26-22:27] 实际上是一直在跌的
[22:27-22:28] 一路在跌的
[22:28-22:30] 那中间软件层正在走
[22:30-22:31] 佩里斯的那个阶段
[22:31-22:32] 它要进行重构了
[22:32-22:34] 然后如果按照周期去推
[22:34-22:35] 大概在30年左右
[22:35-22:37] 才会进入到最后那个应用层泡沫
[22:37-22:38] 也不要泡沫吧
[22:38-22:40] 就是它的佩里斯周期的
[22:40-22:42] 从梦想到未来的转折
[22:42-22:44] 实际上它不是讲AI的周期
[22:44-22:44] 会到此结束
[22:44-22:45] 不是的
[22:45-22:48] 它是进入到衔接上的窗口期
[22:48-22:49] 其实每一个环节
[22:49-22:51] 就是历史上任何的拆链的
[22:51-22:53] 上中下游的衔接中间
[22:53-22:54] 没有无缝的
[22:54-22:56] 它中间全都有一个
[22:56-22:59] 大概两到三个季度的一个真空
[22:59-23:00] 两到三个季度真空
[23:00-23:01] 两到三个季度真空
[23:01-23:04] 然后让上下游能够衔接上
[23:04-23:04] 一般是这样
[23:04-23:06] 所以我觉得要给所有的
[23:06-23:09] 这一波年轻一点的头科技股的朋友
[23:09-23:10] 我其实特别怕他们
[23:10-23:11] 一定不要加杠杆
[23:11-23:13] 我一定特别怕他们
[23:13-23:15] 认为很多事是无真空衔接的
[23:15-23:16] 这个就要了命
[23:16-23:17] 你可以长期看好
[23:17-23:18] 你撑得住
[23:18-23:19] 你不要用这个生活的钱去买
[23:19-23:20] 那OK
[23:20-23:21] 那你可以说我看好某些产业
[23:21-23:22] 这产业长期可以
[23:22-23:23] 我可以拿5年
[23:23-23:23] 拿3年
[23:23-23:24] 我至少拿到这个周期拿满
[23:24-23:26] 不然中间说一跌我就爆仓
[23:26-23:28] 那它怎么可能不跌
[23:28-23:29] 而且它科技股的回调
[23:29-23:30] 都是非常剧烈的
[23:30-23:31] 其实我都不劝
[23:33-23:34] 我不劝
[23:34-23:35] 为什么不劝
[23:35-23:35] 因为
[23:35-23:36] 劝不动
[23:36-23:37] 因为人家要的就是
[23:37-23:39] 20万能不能赚10倍
[23:39-23:40] 他对20万富力增长
[23:40-23:41] 巴菲特那套东西
[23:41-23:42] 他没兴趣
[23:42-23:43] 所以说你会发现
[23:43-23:45] 当他遇到这种
[23:45-23:46] 历史性的机遇的时候
[23:46-23:48] 他一定加杠杆
[23:48-23:49] 但是这个用我话说
[23:49-23:50] 每一代人都必须要经历的
[23:50-23:52] 每一代人在
[23:52-23:53] 每一轮的周期中间
[23:53-23:54] 都是一定要经历的
[23:54-23:56] 没有任何的差异性
[23:56-23:57] 实际上你说现在的
[23:57-23:58] 小邓也好
[23:58-23:59] 年轻人也好
[23:59-24:00] 见过15年的股灾吗
[24:00-24:01] 见过08年吗
[24:01-24:02] 见过87年吗
[24:02-24:03] 都没见过的话
[24:03-24:04] 那换句话说
[24:04-24:05] 他很容易犯的错误
[24:05-24:06] 就非常明显了
[24:06-24:06] 对吧
[24:06-24:07] 非常明显了
[24:08-24:08] 因为投资这个事
[24:08-24:10] 它就是事教人的
[24:10-24:11] 就是该踩的坑
[24:11-24:11] 要走的弯路
[24:11-24:12] 也许每个人都少了点
[24:12-24:13] 他不踩他不信的
[24:13-24:15] 他会说我们这个时代不一样了
[24:15-24:17] 其实我经常想说的是
[24:17-24:18] 没啥不一样
[24:18-24:19] 他只是换了一个词
[24:19-24:21] 换了一种形式
[24:21-24:23] 但他底层的逻辑框架
[24:23-24:24] 这个都是一模一样的
[24:24-24:25] 没有任何的区别
[24:25-24:26] 没有任何区别
[24:26-24:27] 我们现在这个阶段
[24:27-24:29] 它会不会跟90年代末
[24:29-24:30] 互联网泡沫的前期
[24:30-24:31] 不一样
[24:31-24:32] 完全不一样
[24:32-24:33] 估计再过个
[24:34-24:35] 六七年七八年
[24:35-24:36] 才会进入到
[24:36-24:37] 这个大周期的末端
[24:37-24:39] 其实90年就算是
[24:39-24:41] 大周期末端的那场泡沫
[24:41-24:42] 泡沫崩了
[24:42-24:43] 那个特征不一样
[24:43-24:44] 正常来讲
[24:44-24:46] 我们就要按照产业链逻辑去推
[24:46-24:46] 当然准确说
[24:46-24:47] 比如说我们
[24:47-24:49] 我们其实不会配到那么的细的
[24:49-24:50] 顶多比如说我从标普500
[24:50-24:52] 配到标普500信息技术
[24:52-24:54] 标普500软件等等
[24:54-24:54] 这种大类上
[24:54-24:56] 我们不会具体的再往下
[24:56-24:57] 去挑那些小公司了
[24:57-24:58] 因为达等等
[24:58-24:59] 这都没问题
[24:59-24:59] 就是你说的
[24:59-25:00] 它属于老公司
[25:00-25:01] 开新花
[25:01-25:03] 那么扎实的基本面
[25:03-25:04] 也就换句话说
[25:04-25:05] 这个稳定性对于
[25:05-25:07] 配置来讲没毛病
[25:07-25:08] 新公司开新花这种东西
[25:08-25:10] 你现在是不敢去碰的
[25:10-25:11] 日本有些公司
[25:11-25:13] 10个人 20个人
[25:13-25:14] 一个小仓库
[25:14-25:15] 剩下一个什么
[25:15-25:16] 你都不知道的什么小电容
[25:16-25:18] 然后完了又涨20倍
[25:18-25:19] 这玩意怎么去买
[25:19-25:19] 怎么去配
[25:19-25:20] 那就放心
[25:20-25:21] 对投资机构来讲
[25:21-25:23] 我们是看着新养
[25:23-25:24] 但不能碰的
[25:24-25:25] 对 而且说实话
[25:25-25:26] 也没什么行业报告了
[25:26-25:28] 因为这种公司太小
[25:28-25:29] 你都不知道
[25:29-25:29] 当年我记得
[25:29-25:31] iPhone的时候
[25:31-25:32] 就是最后一动回联网时代
[25:32-25:33] iPhone时期的时候
[25:33-25:35] 研究员们怎么做录影
[25:35-25:37] 拿一iPhone手机
[25:37-25:39] 到基金公司去
[25:39-25:40] 然后拿螺丝
[25:40-25:41] 把iPhone手机
[25:41-25:42] 就像拆机
[25:42-25:43] 对 拆机一样
[25:43-25:44] 给你拆掉
[25:44-25:44] 然后告诉你
[25:44-25:45] 喇叭是谁的
[25:45-25:46] 震动是谁的
[25:46-25:47] 电池是谁的
[25:47-25:48] 屏幕是谁的
[25:48-25:49] 这个线是谁的
[25:49-25:51] 但是当真的这么做
[25:51-25:52] 然后你看上市场
[25:52-25:53] 从比如说电池炒完
[25:53-25:54] 炒屏幕
[25:54-25:55] 屏幕炒完炒喇叭
[25:55-25:55] 喇叭炒完
[25:55-25:56] 炒什么里边的
[25:56-25:58] 一层层炒完之类的
[25:58-25:59] 炒到最小的时候
[25:59-26:01] 一般都是泡沫崩的手
[26:01-26:02] 这没办法的
[26:02-26:03] 就吵无可耳
[26:03-26:04] 吵的时候
[26:04-26:05] 那就出问题了
[26:05-26:06] 对 但其实是很好的公司
[26:06-26:07] 就你看
[26:07-26:08] 对 你比如刚才我们讲的
[26:08-26:10] 水尼和水尼
[26:10-26:11] 包括重工
[26:11-26:12] 它的周期实际上
[26:12-26:14] 到07年08年
[26:14-26:14] 达到的第一波
[26:14-26:16] 就是既给估值
[26:16-26:17] 又有业绩增长
[26:17-26:19] 然后市值快速扩张
[26:19-26:20] 07年08年
[26:20-26:21] 到09年金融危机
[26:21-26:22] 下一波
[26:22-26:23] 然后到09年
[26:23-26:25] 四万亿房地产开始启动
[26:25-26:28] 房地产其实是基建的应用
[26:28-26:29] 你知道汽车行业
[26:29-26:30] 和房地产行业
[26:30-26:31] 其实是基建的
[26:31-26:33] 如果按照老黄的分类的话
[26:33-26:36] 它实际上属于基建的应用层
[26:36-26:37] 那是真正的消费端
[26:37-26:39] 到居民部门的消费端
[26:39-26:41] 就是以中国的整个投资基建
[26:41-26:42] 去类比的话
[26:42-26:44] 我们实际上是从2002年
[26:44-26:46] 到2020年
[26:46-26:47] 这长达18年的周期
[26:47-26:49] 完成了一个完整的
[26:49-26:51] 这个配列四周期的
[26:51-26:54] 其实这个叫水尼重工
[26:54-26:55] 它依旧是
[26:55-26:57] 保持着很好的一个汇报
[26:57-27:00] 直到我们的整个周期结束
[27:00-27:01] 它才结束
[27:01-27:03] 一般来讲就是上半场生产力
[27:03-27:04] 下半场生产关系
[27:04-27:06] 普通人因为他大部分
[27:06-27:07] 作为一个生产力
[27:07-27:08] 实际上能够
[27:08-27:10] 对他产生影响
[27:10-27:11] 他能够感知到
[27:11-27:12] 这个阶段其实就一定是
[27:12-27:14] 扩展到生产关系了
[27:14-27:14] 否则的话
[27:14-27:15] 他其实感知不到的
[27:15-27:16] 所谓技术的
[27:16-27:17] 任何技术的早期
[27:17-27:18] 都是由少部分精英
[27:18-27:20] 去做驱动的
[27:20-27:21] 去做推广的
[27:21-27:22] 去做步道的
[27:22-27:24] 去做应用的
[27:24-27:26] 到最后只有广泛的应用
[27:26-27:28] 涉及到了他的身边的时候
[27:28-27:30] 作为普通人才能够感知
[27:30-27:32] 网上很多的实际上是在跟你说
[27:32-27:33] 人工智能时代来了
[27:34-27:35] 你应该怎么去做
[27:35-27:35] 对吧
[27:35-27:37] 但实际上是有点焦虑的
[27:37-27:37] 因为大部分人
[27:37-27:39] 其实是做不到的
[27:39-27:39] 普通老百姓
[27:39-27:41] 我认为不是自己主动抓的
[27:41-27:42] 大部分是到位倒逼的
[27:42-27:44] 但是你能够往前挪一步
[27:44-27:46] 就尽量的往前挪一步
[27:46-27:47] 比别人更早一点
[27:47-27:49] 你其实就有了一个时间差
[27:49-27:50] 你就有了一个相对红利
[27:50-27:51] 就行了
[27:51-27:52] 当然了
[27:52-27:52] 再说一句
[27:52-27:53] 任何的技术进步
[27:53-27:54] 一旦到了
[27:54-27:55] 大部分老百姓去抓的时候
[27:56-27:57] 其实红利就会很少
[27:58-27:59] 一定记住这点
[27:59-28:00] 红利一定很少
[28:00-28:01] 因为你学了
[28:01-28:02] 我其实也会学
[28:02-28:04] 它可复制性太强
[28:04-28:05] 它本质上现在生产力
[28:05-28:06] 还是个工具
[28:06-28:07] 还是个工具
[28:07-28:09] 来提高你的效率
[28:09-28:09] 增加你的产出
[28:09-28:11] 但它不改变你的生产关系
[28:11-28:12] 所以我只能送一句话
[28:12-28:13] 尽量的把自己变成
[28:13-28:16] 用工具去创造的人
[28:16-28:17] 第一批吃螃蟹的人
[28:17-28:18] 别去做最后
[28:19-28:20] 大家都用我也用的那个人
[28:20-28:22] 那个到时候机会其实就不多了
[28:22-28:23] 刚刚都是我作为人类
[28:23-28:24] 向两位老师提问
[28:24-28:24] 接下来
[28:24-28:27] 我们有几位顶尖头脑的AI朋友
[28:27-28:28] 想要向老师们
[28:28-28:29] 提出他们好奇的问题
[28:29-28:30] 首先第一个问题
[28:30-28:31] 是来自于ChadGBT
[28:31-28:32] 对傅鹏老师的提问
[28:32-28:33] 傅鹏老师
[28:33-28:36] 市场本质上是在给稀缺性定价
[28:36-28:37] 过去很多高价值的岗位
[28:37-28:39] 公司和资产
[28:39-28:40] 稀缺的是信息
[28:40-28:41] 分析能力
[28:41-28:41] 专业知识
[28:41-28:42] 以及决策速度
[28:43-28:43] 但是
[28:43-28:45] AI正在让这些东西
[28:45-28:46] 变得越来越便宜
[28:46-28:47] 一个普通人
[28:47-28:48] 也可以快速获得研究报告
[28:48-28:49] 代码和策略
[28:50-28:51] 如果知识和分析
[28:51-28:52] 变得越来越不稀缺
[28:52-28:53] 未来的财富
[28:53-28:55] 真正会奖励什么
[28:55-28:56] 是谁的资本更雄厚
[28:56-28:58] 谁拥有更大的算力和能源
[28:58-28:59] 还是组织能力
[28:59-29:00] 真实场景
[29:00-29:01] 信任
[29:01-29:02] 或者其他呢
[29:02-29:03] 这个话题其实正好
[29:03-29:04] 答案实际上是经验
[29:04-29:06] 除非在AI能够完全的
[29:06-29:08] 实现智能体的基础上
[29:08-29:09] 否则的话
[29:09-29:11] 现阶段它仍然是一个工具
[29:11-29:12] 那么既然是一个工具
[29:12-29:13] 它替代的环节
[29:13-29:15] 其实就是中间的所有的流程
[29:15-29:16] 但是不能够替代的
[29:16-29:18] 实际上是脑子中间的经验
[29:18-29:19] 所以这个时候你就会发现
[29:19-29:21] 我比如说在金融行业
[29:21-29:21] 我就跟他们说
[29:21-29:23] 现在很多的初级研究
[29:24-29:25] 会被替代掉
[29:25-29:26] 因为很简单
[29:26-29:27] 这些工作都是重复性的
[29:27-29:28] 那么你原则来讲
[29:28-29:30] 效率的提升工具的使用
[29:30-29:31] 都可以把你快速的替换掉
[29:31-29:33] 但是他还没有达到智能体
[29:33-29:33] 那什么意思呢
[29:33-29:35] 他的经验还不够
[29:35-29:36] 他经验不够
[29:36-29:37] 他最后仍然需要
[29:37-29:37] 我们说
[29:39-29:39] 老医生
[29:39-29:41] 老法师去做决策
[29:41-29:42] 和判断
[29:42-29:43] 在那个拍板的那一刻
[29:43-29:45] 所以说这个过程中
[29:45-29:48] 这块还会维持着一个相对的稀缺
[29:48-29:49] 直到这么说
[29:49-29:51] 它真的变成一个智能体
[29:51-29:52] 它真的是个假V4的时候
[29:52-29:53] 你可能才能够
[29:53-29:53] AGI
[29:53-29:54] 我们说才能够实现
[29:54-29:55] 当然这个过程
[29:55-29:57] 可能还有一段存活的时间
