[0:00-0:02] 朋友们 咱们今天来一口气儿拆解一下
[0:02-0:05] 这个错综复杂的美国AI资本圈
[15:34-15:35] 它俩有点像两个
[15:35-15:36] 天才型的年轻创业者
[15:37-15:38] 势头很猛
[15:38-15:39] 天赋很高
[15:39-15:40] 目前还没那么有钱
[15:40-15:41] 但天花板极高
[15:41-15:42] 风险也极大
[15:42-15:43] 像谷歌
[15:43-15:44] 微软
[15:44-15:44] 亚马逊
[15:44-15:45] Meta
[15:45-15:46] 这些互联网巨头
[15:46-15:48] 已经算是那种体量很大的
[15:48-15:48] 老钱了
[15:48-15:49] 手里不插钱
[15:49-15:50] 我为了清晰美观
[15:50-15:52] 没有完全按照他们的市值
[15:52-15:53] 去划这些的大小
[15:53-15:54] 你要实际按比例划
[15:54-15:55] 谷歌应该是
[15:55-15:56] Anthropic的5倍
[15:59-16:00] 这些老钱
[16:00-16:01] 它打法有点跟不上年轻人
[16:01-16:03] 就一边培养自己的年轻人
[16:03-16:04] 一边赶紧投资
[16:04-16:05] 去拉拢年轻人
[16:05-16:06] 而英伟达呢
[16:06-16:07] 他就像是一个
[16:07-16:09] 正处在鼎盛时期的
[16:09-16:10] 冬年大佬
[16:10-16:11] 运筹帷幄
[16:11-16:11] 统筹整个桌子
[16:13-16:13] 他的目标
[16:13-16:15] 就不是在这个桌上
[16:15-16:16] 分一块大蛋糕
[16:16-16:18] 而是想着怎么把整个蛋糕做大
[16:18-16:18] 而博通呢
[16:18-16:20] 就和各个老钱
[16:20-16:21] 关系都非常好
[16:21-16:22] 一个很靠谱的雇佣商
[16:22-16:23] 也成了一个新贵
[16:23-16:24] 还有甲骨文
[16:24-16:24] AMD
[16:24-16:25] 英特尔
[16:25-16:26] 属于费了不少劲
[16:26-16:27] 好不容易
[16:27-16:28] 坐到这主桌上来了
[16:28-16:37] 也想争取更大的蛋糕
[16:37-16:38] 就属于
[16:38-16:39] 不是那种名门正态
[16:39-16:40] 完全另一套路数
[16:40-16:41] 另一套打法
[16:41-16:43] 跟大家的竞争关系
[16:43-16:43] 合作关系
[16:43-16:44] 都不是那么紧密
[16:44-16:45] 但未来
[16:45-16:46] 天花板也很高
[16:46-16:48] 有可能在某个时间点
[16:48-16:48] 跟大家形成
[16:48-16:49] 强力的竞争关系
[16:49-16:51] 有点这种感觉
[16:51-16:52] 这个比喻就是
[16:52-16:53] 我非常主观的一个感觉
[16:53-16:54] 你要是不同意
[16:54-16:59] 也可以有你的版本
[16:59-17:00] 那这一拙人
[17:00-17:02] 错综复杂的资本关系呢
[17:02-17:02] 简单来说
[17:02-17:04] 就是同级之间竞争
[17:04-17:06] 不同级之间捆绑
[17:06-17:07] 有这么三条主线
[17:07-17:08] 首先
[17:08-17:08] 英伟达
[17:08-17:09] 投资所有人
[17:09-17:10] 扶持整个行业
[17:11-17:13] 其实也是锁定他未来的订单
[17:13-17:13] 哎
[17:13-17:14] 这是钱啊
[17:14-17:15] 投资给你
[17:15-17:16] 以后别忘了继续用
[17:16-17:17] 咱们这的GPU啊
[17:17-17:18] 然后第二条主线
[17:18-17:19] 所有人
[17:19-17:20] 投资OA这两枪
[17:20-17:22] 换取他俩的算力订单
[17:22-17:23] 你看所有的箭头
[17:23-17:24] 都指向他俩
[17:24-17:24] 尤其是
[17:24-17:26] 这两位今年还要上市
[17:26-17:26] 所以这个融资情况
[17:26-17:27] 就更活跃了
[17:27-17:28] 都在努力的
[17:28-17:29] 脚踩两条船
[17:29-17:29] 三条船
[17:29-17:30] 四条船
[17:30-17:31] 这么乱七八糟一捆绑
[17:31-17:33] 大家就成了一条船上的人
[17:33-17:34] 不知道你有没有发现
[17:34-17:35] 这张图上的投资
[17:35-17:37] 其实跟我们普通意义上的
[17:37-17:38] 投资完全不一样
[17:38-17:38] 你看似
[17:38-17:40] OpenAI和Anthropic
[17:40-17:41] 众星同约
[17:41-17:41] 融那么多钱
[17:41-17:42] 很光鲜
[17:42-17:43] 他俩一定很舒服
[17:43-17:43] 对吧
[17:43-17:43] 哎
[17:43-17:44] 不是的
[17:44-17:45] 他融资的同时
[17:45-17:46] 拿到钱的同时
[17:46-17:47] 是承诺出去很多
[17:47-17:49] 未来的算力和合作的
[17:49-17:50] 你看咱们刚才说
[17:50-17:51] 不管是
[17:51-17:52] 英伟达的投资
[17:52-17:53] 打麻讯的投资
[17:53-17:53] 谷歌的投资
[17:53-17:55] 都是叫承诺最多
[17:55-17:56] 多少多少亿美元
[17:56-17:57] 什么意思呢
[17:57-17:58] 就是你未来得用我的算力
[17:58-18:00] 你拔到了什么什么指标
[18:00-18:01] 我才继续给你投钱
[18:01-18:02] 粗略估算
[18:02-18:03] 这些全加起来
[18:03-18:05] OpenAI已经承诺出去
[18:05-18:06] 超过万亿美元的订单了
[18:06-18:08] 所以你不能单纯把它看作是一家
[18:08-18:10] 融资了1100亿美元的公司
[18:10-18:10] 它是
[18:10-18:11] 融了1100亿的同时
[18:11-18:12] 又立刻签出去
[18:12-18:13] 万亿美元的公司
[18:13-18:15] 它已经把自己跟别人
[18:15-18:16] 死死地绑住了
[18:17-18:19] 这种股份合作的捆绑
[18:19-18:21] 降低了每家公司自己的风险
[18:21-18:23] 但同时增大了整个行业的
[18:23-18:24] 系统性风险
[18:24-18:25] 就像这么多艘
[18:25-18:26] 大船小船都绑一起
[18:26-18:27] 一起抵御风浪
[18:29-18:30] 看过三国的朋友都知道
[18:30-18:31] 他怕什么呀
[18:31-18:32] 火
[18:32-18:34] 推翻整个行业的火
[18:34-18:35] 可能是什么呢
[18:35-18:37] 可能是算力需求大不到预期
[18:37-18:38] 可能是电力跟不上
[18:38-18:40] 可能是某个公司的爆雷
[18:40-18:41] 都确实有可能
[18:41-18:41] 火烧赤壁
[18:41-18:42] 当然反过来
[18:42-18:44] 如果需求持续爆发
[18:44-18:45] 算力需求旺盛
[18:45-18:46] 那就皆大欢喜
[18:46-18:47] 至少这帮人是皆大欢喜
[18:48-18:52] 好 这就是
[18:52-18:54] 大致上这帮巨头
[18:54-18:55] 这帮资本们之间的关系
[18:55-18:56] 是不是有点意思
[18:56-18:56] 我跟你说
[18:56-18:57] 半年前
[18:57-18:58] 这幅图还完全不表这个样
[18:58-19:00] 很多箭头都是这俩月才加上去的
[19:00-19:01] 现在这张图里
[19:01-19:03] SpaceX刚刚上市
[19:03-19:04] OpenAI和Anthropic
[19:04-19:05] 都计划年内上市
[19:05-19:07] 到时候估计要掀起
[19:07-19:08] 资本市场的兴风却雨
[19:09-19:10] 那就到时候再跟大家聊聊
